% Pose logfile
% 1 	Time (sec)
% 2,3 	X, Y position (m)
% 4 	Heading in radians (m)
% 5 	Tilt angle, if calculated (rad)
1777025565.5203 0.000 0.000 0.0000 3.1295
1777025565.5260 0.000 0.000 0.0000 3.1295
1777025565.5304 0.000 0.000 0.0000 3.1295
1777025565.5361 0.000 0.000 0.0000 3.1295
1777025565.5406 0.000 0.000 0.0000 3.1295
1777025565.5453 0.000 0.000 0.0000 3.1295
1777025565.5509 0.000 0.000 0.0000 3.1295
1777025565.5560 0.000 0.000 0.0000 3.1295
1777025565.5607 0.000 0.000 0.0000 3.1295
1777025565.5652 0.000 0.000 0.0000 3.1295
1777025565.5709 0.000 0.000 0.0000 3.1295
1777025565.5755 0.000 0.000 0.0000 3.1295
1777025565.5811 0.000 0.000 0.0000 3.1295
1777025565.5859 0.000 0.000 0.0000 3.1295
1777025565.5903 0.000 0.000 0.0000 3.1295
1777025565.5961 0.000 0.000 0.0000 3.1295
1777025565.6006 0.000 0.000 0.0000 3.1295
1777025565.6062 0.000 0.000 0.0000 3.1295
1777025565.6108 0.000 0.000 0.0000 3.1295
1777025565.6152 0.000 0.000 0.0000 3.1295
1777025565.6203 0.000 0.000 0.0000 3.1295
1777025565.6260 0.000 0.000 0.0000 3.1295
1777025565.6304 0.000 0.000 0.0000 3.1295
1777025565.6361 0.000 0.000 0.0000 3.1295
1777025565.6405 0.000 0.000 0.0000 3.1295
1777025565.6462 0.000 0.000 0.0000 3.1295
1777025565.6507 0.000 0.000 0.0000 3.1295
1777025565.6554 0.000 0.000 0.0000 3.1295
1777025565.6609 0.000 0.000 0.0000 3.1295
1777025565.6656 0.000 0.000 0.0000 3.1295
1777025565.6712 0.000 0.000 0.0000 3.1295
1777025565.6757 0.000 0.000 0.0000 3.1295
1777025565.6813 0.000 0.000 0.0000 3.1295
1777025565.6859 0.000 0.000 0.0000 3.1295
1777025565.6904 0.000 0.000 0.0000 3.1295
1777025565.6961 0.000 0.000 0.0000 3.1294
1777025565.7005 0.000 0.000 0.0000 3.1295
1777025565.7063 0.000 0.000 0.0000 3.1295
1777025565.7106 0.000 0.000 0.0000 3.1295
1777025565.7163 0.000 0.000 0.0000 3.1294
1777025565.7213 0.000 0.000 0.0000 3.1294
1777025565.7258 0.000 0.000 0.0000 3.1294
1777025565.7305 0.000 0.000 0.0000 3.1294
1777025565.7361 0.000 0.000 0.0000 3.1294
1777025565.7405 0.000 0.000 0.0000 3.1294
1777025565.7463 0.000 0.000 0.0000 3.1294
1777025565.7508 0.000 0.000 0.0000 3.1294
1777025565.7557 0.000 0.000 0.0000 3.1294
1777025565.7613 0.000 0.000 0.0000 3.1294
1777025565.7653 0.000 0.000 0.0000 3.1294
1777025565.7709 0.000 0.000 0.0000 3.1294
1777025565.7755 0.000 0.000 0.0000 3.1294
1777025565.7810 0.000 0.000 0.0000 3.1294
1777025565.7860 0.000 0.000 0.0000 3.1294
1777025565.7908 0.000 0.000 0.0000 3.1294
1777025565.7963 0.000 0.000 0.0000 3.1294
1777025565.8009 0.000 0.000 0.0000 3.1294
1777025565.8065 0.000 0.000 0.0000 3.1294
1777025565.8110 0.000 0.000 0.0000 3.1294
1777025565.8168 0.000 0.000 0.0000 3.1294
1777025565.8212 0.000 0.000 0.0000 3.1294
1777025565.8260 0.000 0.000 0.0000 3.1294
1777025565.8315 0.000 0.000 0.0000 3.1294
1777025565.8360 0.000 0.000 0.0000 3.1294
1777025565.8416 0.000 0.000 0.0000 3.1294
1777025565.8462 0.000 0.000 0.0000 3.1294
1777025565.8511 0.000 0.000 0.0000 3.1294
1777025565.8565 0.000 0.000 0.0000 3.1294
1777025565.8613 0.000 0.000 0.0000 3.1294
1777025565.8663 0.000 0.000 0.0000 3.1294
1777025565.8710 0.000 0.000 0.0000 3.1294
1777025565.8759 0.000 0.000 0.0000 3.1294
1777025565.8817 0.000 0.000 0.0000 3.1294
1777025565.8861 0.000 0.000 0.0000 3.1294
1777025565.8910 0.000 0.000 0.0000 3.1294
1777025565.8960 0.000 0.000 0.0000 3.1294
1777025565.9019 0.000 0.000 0.0000 3.1294
1777025565.9068 0.000 0.000 0.0000 3.1294
1777025565.9108 0.000 0.000 0.0000 3.1294
1777025565.9166 0.000 0.000 0.0000 3.1294
1777025565.9208 0.000 0.000 0.0000 3.1294
1777025565.9266 0.000 0.000 0.0000 3.1294
1777025565.9314 0.000 0.000 0.0000 3.1294
1777025565.9364 0.000 0.000 0.0000 3.1294
1777025565.9410 0.000 0.000 0.0000 3.1294
1777025565.9464 0.000 0.000 0.0000 3.1294
1777025565.9510 0.000 0.000 0.0000 3.1294
1777025565.9566 0.000 0.000 0.0000 3.1294
1777025565.9614 0.000 0.000 0.0000 3.1294
1777025565.9662 0.000 0.000 0.0000 3.1294
1777025565.9712 0.000 0.000 0.0000 3.1294
1777025565.9759 0.000 0.000 0.0000 3.1294
1777025565.9808 0.000 0.000 0.0000 3.1294
1777025565.9861 0.000 0.000 0.0000 3.1294
1777025565.9912 0.000 0.000 0.0000 3.1294
1777025565.9960 0.000 0.000 0.0000 3.1294
1777025566.0017 0.000 0.000 0.0000 3.1294
1777025566.0059 0.000 0.000 0.0000 3.1294
1777025566.0116 0.000 0.000 0.0000 3.1294
1777025566.0166 0.000 0.000 0.0000 3.1294
1777025566.0214 0.000 0.000 0.0000 3.1294
1777025566.0263 0.000 0.000 0.0000 3.1294
1777025566.0316 0.000 0.000 0.0000 3.1294
1777025566.0367 0.000 0.000 0.0000 3.1294
1777025566.0418 0.000 0.000 0.0000 3.1294
1777025566.0468 0.000 0.000 0.0000 3.1294
1777025566.0517 0.000 0.000 0.0000 3.1294
1777025566.0568 0.000 0.000 0.0000 3.1294
1777025566.0614 0.000 0.000 0.0000 3.1294
1777025566.0668 0.000 0.000 0.0000 3.1294
1777025566.0716 0.000 0.000 0.0000 3.1294
1777025566.0769 0.000 0.000 0.0000 3.1294
1777025566.0817 0.000 0.000 0.0000 3.1294
1777025566.0865 0.000 0.000 0.0000 3.1294
1777025566.0912 0.000 0.000 0.0000 3.1294
1777025566.0963 0.000 0.000 0.0000 3.1294
1777025566.1013 0.000 0.000 0.0000 3.1294
1777025566.1064 0.000 0.000 0.0000 3.1295
1777025566.1114 0.000 0.000 0.0000 3.1295
1777025566.1167 0.000 0.000 0.0000 3.1295
1777025566.1215 0.000 0.000 0.0000 3.1295
1777025566.1266 0.000 0.000 0.0000 3.1295
1777025566.1313 0.000 0.000 0.0000 3.1295
1777025566.1364 0.000 0.000 0.0000 3.1295
1777025566.1411 0.000 0.000 0.0000 3.1295
1777025566.1460 0.000 0.000 0.0000 3.1295
1777025566.1509 0.000 0.000 0.0000 3.1295
1777025566.1566 0.000 0.000 0.0000 3.1295
1777025566.1616 0.000 0.000 0.0000 3.1295
1777025566.1662 0.000 0.000 0.0000 3.1295
1777025566.1709 0.000 0.000 0.0000 3.1295
1777025566.1769 0.000 0.000 0.0000 3.1295
1777025566.1815 0.000 0.000 0.0000 3.1295
1777025566.1869 0.000 0.000 0.0000 3.1295
1777025566.1918 0.000 0.000 0.0000 3.1295
1777025566.1967 0.000 0.000 0.0000 3.1295
1777025566.2013 0.000 0.000 0.0000 3.1295
1777025566.2059 0.000 0.000 0.0000 3.1295
1777025566.2119 0.000 0.000 0.0000 3.1295
1777025566.2166 0.000 0.000 0.0000 3.1295
1777025566.2217 0.000 0.000 0.0000 3.1295
1777025566.2265 0.000 0.000 0.0000 3.1295
1777025566.2313 0.000 0.000 0.0000 3.1295
1777025566.2360 0.000 0.000 0.0000 3.1295
1777025566.2417 0.000 0.000 0.0000 3.1295
1777025566.2467 0.000 0.000 0.0000 3.1295
1777025566.2513 0.000 0.000 0.0000 3.1295
1777025566.2569 0.000 0.000 0.0000 3.1295
1777025566.2615 0.000 0.000 0.0000 3.1295
1777025566.2664 0.000 0.000 0.0000 3.1295
1777025566.2714 0.000 0.000 0.0000 3.1295
1777025566.2761 0.000 0.000 0.0000 3.1295
1777025566.2811 0.000 0.000 0.0000 3.1295
1777025566.2871 0.000 0.000 0.0000 3.1295
1777025566.2910 0.000 0.000 0.0000 3.1295
1777025566.2960 0.000 0.000 0.0000 3.1295
1777025566.3016 0.000 0.000 0.0000 3.1295
1777025566.3068 0.000 0.000 0.0000 3.1295
1777025566.3115 0.000 0.000 0.0000 3.1295
1777025566.3165 0.000 0.000 0.0000 3.1295
1777025566.3216 0.000 0.000 0.0000 3.1295
1777025566.3266 0.000 0.000 0.0000 3.1295
1777025566.3316 0.000 0.000 0.0000 3.1295
1777025566.3364 0.000 0.000 0.0000 3.1295
1777025566.3416 0.000 0.000 0.0000 3.1295
1777025566.3469 0.000 0.000 0.0000 3.1295
1777025566.3518 0.000 0.000 0.0000 3.1295
1777025566.3563 0.000 0.000 0.0000 3.1295
1777025566.3613 0.000 0.000 0.0000 3.1295
1777025566.3664 0.000 0.000 0.0000 3.1295
1777025566.3721 0.000 0.000 0.0000 3.1295
1777025566.3764 0.000 0.000 0.0000 3.1295
1777025566.3820 0.000 0.000 0.0000 3.1295
1777025566.3871 0.000 0.000 0.0000 3.1295
1777025566.3913 0.000 0.000 0.0000 3.1295
1777025566.3972 0.000 0.000 0.0000 3.1295
1777025566.4014 0.000 0.000 0.0000 3.1295
1777025566.4064 0.000 0.000 0.0000 3.1295
1777025566.4117 0.000 0.000 0.0000 3.1295
1777025566.4169 0.000 0.000 0.0000 3.1295
1777025566.4216 0.000 0.000 0.0000 3.1295
1777025566.4264 0.000 0.000 0.0000 3.1295
1777025566.4321 0.000 0.000 0.0000 3.1295
1777025566.4373 0.000 0.000 0.0000 3.1295
1777025566.4413 0.000 0.000 0.0000 3.1295
1777025566.4471 0.000 0.000 0.0000 3.1295
1777025566.4521 0.000 0.000 0.0000 3.1295
1777025566.4565 0.000 0.000 0.0000 3.1295
1777025566.4624 0.000 0.000 0.0000 3.1295
1777025566.4673 0.000 0.000 0.0000 3.1295
1777025566.4721 0.000 0.000 0.0000 3.1295
1777025566.4770 0.000 0.000 0.0000 3.1295
1777025566.4820 0.000 0.000 0.0000 3.1295
1777025566.4871 0.000 0.000 0.0000 3.1295
1777025566.4920 0.000 0.000 0.0000 3.1295
1777025566.4973 0.000 0.000 0.0000 3.1295
1777025566.5017 0.000 0.000 0.0000 3.1295
1777025566.5069 0.000 0.000 0.0000 3.1295
1777025566.5128 0.000 0.000 0.0000 3.1295
1777025566.5181 0.000 0.000 0.0000 3.1295
1777025566.5218 0.000 0.000 0.0000 3.1295
1777025566.5269 0.000 0.000 0.0000 3.1295
1777025566.5327 0.000 0.000 0.0000 3.1295
1777025566.5378 0.000 0.000 0.0000 3.1295
1777025566.5425 0.000 0.000 0.0000 3.1295
1777025566.5476 0.000 0.000 0.0000 3.1295
1777025566.5522 0.000 0.000 0.0000 3.1295
1777025566.5578 0.000 0.000 0.0000 3.1295
1777025566.5624 0.000 0.000 0.0000 3.1295
1777025566.5675 0.000 0.000 0.0000 3.1295
1777025566.5721 0.000 0.000 0.0000 3.1295
1777025566.5769 0.000 0.000 0.0000 3.1295
1777025566.5828 0.000 0.000 0.0000 3.1295
1777025566.5874 0.000 0.000 0.0000 3.1295
1777025566.5924 0.000 0.000 0.0000 3.1295
1777025566.5973 0.000 0.000 0.0000 3.1295
1777025566.6019 0.000 0.000 0.0000 3.1295
1777025566.6071 0.000 0.000 0.0000 3.1295
1777025566.6126 0.000 0.000 0.0000 3.1295
1777025566.6181 0.000 0.000 0.0000 3.1295
1777025566.6226 0.000 0.000 0.0000 3.1295
1777025566.6278 0.000 0.000 0.0000 3.1295
1777025566.6328 0.000 0.000 0.0000 3.1295
1777025566.6373 0.000 0.000 0.0000 3.1295
1777025566.6425 0.000 0.000 0.0000 3.1295
1777025566.6473 0.000 0.000 0.0000 3.1295
1777025566.6519 0.000 0.000 0.0000 3.1295
1777025566.6577 0.000 0.000 0.0000 3.1295
1777025566.6624 0.000 0.000 0.0000 3.1295
