% teensy communication to/from Teensy
% 1 	Time (sec) from system
% 2 	(Tx) Send to Teensy
%   	(Rx) Received from Teensy
%   	(Qu N) Put in queue to Teensy, now queue size N
% 3 	Message string queued, send or received
1777025564.4275 ## Connection to USB open
1777025564.8407 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025564.8408 Rx ;90mca 0.000 0.000 16
1777025564.8430 Rx ;74ird 0.339 0.981 6671 3276 1
1777025564.8441 Rx ;60livn 91 82 69 83 77 84 86 16 5
1777025564.8456 Rx ;42pose 2128.0901 0.000 0.000 0.0000 3.1295
1777025564.8468 Rx ;46vel 2128.0920 0.000 0.000 0.0000 0.000 4
1777025564.8501 Rx ;46pose 2128.0950 0.000 0.000 0.0000 3.1295
1777025564.8501 Rx ;83gyro 0.030518 -2.166748 0.854492 2128.095
1777025564.8513 Rx ;01acc 0.030273 -0.005127 1.170654 2128.097
1777025564.8548 Rx ;02livn 103 97 95 87 90 92 94 13 5
1777025564.8549 Rx ;62vel 2128.0999 0.000 0.000 0.0000 0.000 4
1777025564.8550 Rx ;59pose 2128.0999 0.000 0.000 0.0000 3.1295
1777025564.8572 Rx ;36mot 0 0 0.1 0.1 0
1777025564.8604 Rx ;38pose 2128.1050 0.000 0.000 0.0000 3.1295
1777025564.8626 Rx ;78gyro 0.091553 -2.471924 0.671387 2128.107
1777025564.8627 Rx ;52vel 2128.1079 0.000 0.000 0.0000 0.000 4
1777025564.8628 Rx ;70ird 0.338 0.824 6681 3618 1
1777025564.8639 Rx ;01acc 0.034424 -0.001709 1.172852 2128.109
1777025564.8640 Rx ;75livn 89 88 90 85 86 88 95 27 5
1777025564.8651 Rx ;51pose 2128.1099 0.000 0.000 0.0000 3.1295
1777025564.8705 Rx ;39pose 2128.1150 0.000 0.000 0.0000 3.1295
1777025564.8706 Rx ;43vel 2128.1160 0.000 0.000 0.0000 0.000 4
1777025564.8740 Rx ;91mca 0.000 0.000 17
1777025564.8740 Rx ;98livn 109 86 80 83 76 85 83 21 5
1777025564.8741 Rx ;67gyro 0.183105 -2.380371 0.946045 2128.119
1777025564.8752 Rx ;36pose 2128.1201 0.000 0.000 0.0000 3.1295
1777025564.8753 Rx ;98acc 0.030029 -0.004883 1.163574 2128.121
1777025564.8786 Rx ;42vel 2128.1240 0.000 0.000 0.0000 0.000 4
1777025564.8797 Rx ;39pose 2128.1250 0.000 0.000 0.0000 3.1294
1777025564.8830 Rx ;55ird 0.339 1.130 6666 3041 1
1777025564.8841 Rx ;09livn 94 102 85 89 84 86 88 23 5
1777025564.8858 Rx ;36pose 2128.1301 0.000 0.000 0.0000 3.1294
1777025564.8871 Rx ;17gyro -0.091553 -2.258301 0.762939 2128.131
1777025564.8872 Rx ;42vel 2128.1321 0.000 0.000 0.0000 0.000 4
1777025564.8873 Rx ;05acc 0.033691 -0.005859 1.171143 2128.133
1777025564.8895 Rx ;36mot 0 0 0.1 0.1 0
1777025564.8906 Rx ;41pose 2128.1350 0.000 0.000 0.0000 3.1295
1777025564.8907 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025564.8950 Rx ;49livn 79 100 81 76 85 91 76 7 5
1777025564.8950 Rx ;41vel 2128.1401 0.000 0.000 0.0000 0.000 4
1777025564.8951 Rx ;38pose 2128.1401 0.000 0.000 0.0000 3.1295
1777025564.8984 Rx ;73gyro 0.122070 -2.349854 0.854492 2128.143
1777025564.8995 Rx ;13acc 0.031494 -0.003662 1.166992 2128.145
1777025564.9007 Rx ;42pose 2128.1450 0.000 0.000 0.0000 3.1295
1777025564.9029 Rx ;56vel 2128.1479 0.000 0.000 0.0000 0.000 4
1777025564.9030 Rx ;74ird 0.338 1.176 6683 2980 1
1777025564.9042 Rx ;98livn 90 95 84 94 92 101 95 26 5
1777025564.9053 Rx ;55pose 2128.1499 0.000 0.000 0.0000 3.1295
1777025564.9075 Rx ;91mca 0.001 0.000 16
1777025564.9107 Rx ;43pose 2128.1550 0.000 0.000 0.0000 3.1295
1777025564.9108 Rx ;15gyro -0.091553 -2.197266 1.007080 2128.155
1777025564.9109 Rx ;47vel 2128.1560 0.000 0.000 0.0000 0.000 4
1777025564.9120 Rx ;85acc 0.031006 -0.002930 1.171143 2128.157
1777025564.9143 Rx ;98livn 104 91 81 85 85 93 93 27 5
1777025564.9154 Rx ;56pose 2128.1599 0.000 0.000 0.0000 3.1295
1777025564.9187 Rx ;47vel 2128.1641 0.000 0.000 0.0000 0.000 4
1777025564.9198 Rx ;44pose 2128.1650 0.000 0.000 0.0000 3.1295
1777025564.9230 Rx ;30gyro -0.061035 -2.563477 0.976562 2128.167
1777025564.9231 Rx ;36mot 0 0 0.1 0.1 0
1777025564.9231 Rx ;61ird 0.339 1.500 6668 2018 1
1777025564.9242 Rx ;21acc 0.032959 -0.003662 1.173584 2128.169
1777025564.9244 Rx ;65livn 89 85 82 87 83 95 84 15 5
1777025564.9255 Rx ;57pose 2128.1699 0.000 0.000 0.0000 3.1295
1777025564.9266 Rx ;46vel 2128.1721 0.000 0.000 0.0000 0.000 4
1777025564.9299 Rx ;45pose 2128.1750 0.000 0.000 0.0000 3.1295
1777025564.9342 Rx ;02livn 104 82 77 77 79 80 92 17 5
1777025564.9342 Rx ;73gyro 0.213623 -2.258301 0.854492 2128.179
1777025564.9343 Rx ;61vel 2128.1799 0.000 0.000 0.0000 0.000 4
1777025564.9355 Rx ;58pose 2128.1799 0.000 0.000 0.0000 3.1295
1777025564.9356 Rx ;13acc 0.030518 -0.002686 1.166748 2128.181
1777025564.9398 Txd ;64leds 14 0 55 0
1777025564.9398 Rx ;92mca 0.000 0.001 17
1777025564.9399 Rx ;47pose 2128.1851 0.000 0.000 0.0000 3.1295
1777025564.9410 Rx ;89svo 0 0 0  0 0 0  0 0 0  0 0 0  0 0 0
1777025564.9432 Rx ;52vel 2128.1880 0.000 0.000 0.0000 0.000 4
1777025564.9433 Rx ;63ird 0.339 1.500 6663 1656 1
1777025564.9444 Rx ;59livn 91 85 75 79 76 90 84 25 5
1777025564.9456 Rx ;59pose 2128.1899 0.000 0.000 0.0000 3.1295
1777025564.9467 Rx ;75gyro 0.091553 -2.258301 0.823975 2128.191
1777025564.9479 Rx ;92acc 0.033203 -0.000244 1.169434 2128.193
1777025564.9501 Rx ;54pose 2128.1948 0.000 0.000 0.0000 3.1295
1777025564.9512 Rx ;51vel 2128.1960 0.000 0.000 0.0000 0.000 4
1777025564.9547 Rx ;92livn 113 90 81 85 73 75 93 16 5
1777025564.9548 Rx ;34pose 2128.2000 0.000 0.000 0.0000 3.1295
1777025564.9560 Rx ;36mot 0 0 0.1 0.1 0
1777025564.9581 Rx ;72gyro 0.122070 -2.166748 0.793457 2128.203
1777025564.9593 Rx ;42vel 2128.2041 0.000 0.000 0.0000 0.000 4
1777025564.9594 Rx ;10acc 0.033447 -0.001709 1.166992 2128.205
1777025564.9605 Rx ;40pose 2128.2051 0.000 0.000 0.0000 3.1295
1777025564.9638 Rx ;56ird 0.339 1.500 6663 2216 1
1777025564.9649 Rx ;17livn 98 84 89 95 86 94 110 39 5
1777025564.9651 Rx ;35pose 2128.2100 0.000 0.000 0.0000 3.1295
1777025564.9673 Rx ;48vel 2128.2119 0.000 0.000 0.0000 0.000 4
1777025564.9706 Rx ;41pose 2128.2151 0.000 0.000 0.0000 3.1295
1777025564.9706 Rx ;19gyro -0.061035 -2.532959 0.915527 2128.215
1777025564.9718 Rx ;92acc 0.029541 -0.001709 1.170410 2128.217
1777025564.9729 Rx ;90mca 0.000 0.000 16
1777025564.9741 Rx ;54livn 97 92 90 82 83 83 88 21 5
1777025564.9752 Rx ;39vel 2128.2200 0.000 0.000 0.0000 0.000 4
1777025564.9753 Rx ;36pose 2128.2200 0.000 0.000 0.0000 3.1295
1777025564.9807 Rx ;42pose 2128.2251 0.000 0.000 0.0000 3.1295
1777025564.9829 Rx ;58gyro 0.122070 -2.136230 0.854492 2128.227
1777025564.9830 Rx ;47vel 2128.2280 0.000 0.000 0.0000 0.000 4
1777025564.9830 Rx ;59ird 0.339 1.500 6670 2464 1
1777025564.9842 Rx ;13acc 0.034668 -0.000488 1.170166 2128.229
1777025564.9842 Rx ;57livn 79 82 81 86 90 90 93 29 5
1777025564.9867 Rx ;37pose 2128.2300 0.000 0.000 0.0000 3.1295
1777025564.9890 Rx ;36mot 0 0 0.1 0.1 0
1777025564.9901 Rx ;43pose 2128.2351 0.000 0.000 0.0000 3.1295
1777025564.9912 Rx ;47vel 2128.2361 0.000 0.000 0.0000 0.000 4
